Dest,Delay_Probability
EAU,0.08451544195953142
EGE,0.07271644074350138
EKO,0.08030883919062833
ELM,0.07926649554445081
ELP,0.05881494404164105
ERI,0.1089825996929092
ESC,0.07351387519651097
EUG,0.034701234007066005
EVV,0.0859399383855303
EWN,0.12284520867241347
EWR,0.0950614548040026
FAT,0.07242388668430334
FAY,0.11503768682751277
FLG,0.04791516466607358
FLL,0.05780164513043049
FLO,0.14756018518518518
FNT,0.06861936400817699
FSD,0.04657513727668239
FSM,0.12294011118598382
FWA,0.0978065218340057
GCC,0.03343237486687966
GCK,0.11263578274760382
GEG,0.0684840475566295
GFK,0.05649272275470358
GGG,0.11919861554845582
GJT,0.04564964408422551
GNV,0.11111024350528644
GPT,0.1003171071739762
GRB,0.044728657888624755
GRI,0.05196434092548696
GRK,0.14971913790394384
GRR,0.0892903735401216
GSO,0.09766229209630385
GSP,0.07247010281301138
GTF,0.04377247716466643
GTR,0.11605910543130991
GUC,0.09308730782102591
HDN,0.025549908075561824
HIB,0.11266149399056748
HLN,0.06405170923391885
HOB,0.02299322169059011
HOU,0.031139946698969318
HPN,0.13968122490015328
HRL,0.046132822638010884
HSV,0.08812399427571192
HTS,0.0686964699074074
HVN,0.03771910074882007
HYA,0.013424657534246575
HYS,0.05108356629392971
IAD,0.06348310388387993
IAG,0.0
IAH,0.08850305250881782
ICT,0.06497307129396152
IDA,0.02888086219718286
ILG,0.004
IMT,0.06843147933004162
IND,0.06653021470419845
ISP,0.04056119171989828
ITH,0.1074135192682769
JAN,0.10065574257092727
JAX,0.059016880726800204
JFK,0.08783173279984571
JLN,0.09617490854526355
JMS,0.06339925258129142
LAN,0.07445122448279626
LAR,0.11465343070135402
LAS,0.06288440469459407
LAW,0.1524499467518637
LAX,0.08225920834374775
LBB,0.06730747632289227
LBE,0.024603193055878478
LBF,0.030104632587859427
LCH,0.11263542282964539
LCK,0.01414642884978471
LEX,0.05870608063870737
LFT,0.08704159670353506
LGA,0.11623681771633766
LGB,0.020761043474725027
LIT,0.09047660372497482
LNK,0.04613293274281048
LRD,0.050316875048163345
LSE,0.09450185462896554
LWB,0.04991442263806481
LWS,0.032538161164359244
LYH,0.22499840255591053
MAF,0.08818099549944926
MBS,0.06634025624504764
MCI,0.0548191524821275
MCO,0.07175662965093628
MDT,0.0689214757999259
MDW,0.03921672402110949
MEI,0.053027763573092815
MEM,0.06336327165703799
MGM,0.11920255690756093
MHK,0.1185349202282637
MHT,0.06617216550810301
MIA,0.07446921747839381
MKE,0.06060357275475772
MKG,0.06831416400425985
MLB,0.02560435548021125
MLI,0.09489095698757824
MLU,0.1025628473495231
MOB,0.1614285912368275
MOT,0.08486946138703327
MRY,0.03425851139525924
MSN,0.04780782421041069
MSP,0.08807008785885195
MSY,0.06166567149984754
MTJ,0.0478217483792104
MVY,0.018364247840962855
MYR,0.039079667858319254
OAJ,0.15099840255591054
OAK,0.02547010570046778
OGS,0.03583151511577623
OKC,0.07454841199932215
OMA,0.06172319984899943
ONT,0.05041211841943982
ORD,0.10281372234028766
ORF,0.0636193987794834
ORH,0.022515912171717833
OTH,0.0172031416400426
PAE,0.021460629001834916
PAH,0.03397497337593185
PBG,0.07131301143645864
PBI,0.032013841918429556
PDX,0.0559431879825268
PGV,0.14575082671957673
PHF,0.09961796028343241
PHL,0.0823281958479778
PHX,0.06677078112090871
