Origin,Delay_Probability
SFB,0.04611336941582093
SFO,0.03544520294865982
SGF,0.09875409307398067
SGU,0.05349170781215713
SHD,0.015364178875360984
SHR,0.09098972145133107
SHV,0.0934966369344908
SJC,0.017734053099483123
SJT,0.19810329005506083
SLC,0.08256258780702348
SLN,0.023944789958082743
SMF,0.023656457554243497
SMX,0.011380718954248366
SNA,0.03183402896946169
SPI,0.09037085108271212
SPS,0.14758481667427356
STL,0.057460443106237206
STS,0.01398186825481409
SUN,0.06137867948960322
SUX,0.08595773378006205
SWF,0.046720612902977264
SWO,0.09103035143769968
SYR,0.04739419394165655
TBN,0.0
TLH,0.09072071659481198
TOL,0.037727192473513534
TPA,0.0796365926341648
TRI,0.09164866265545686
TTN,0.01412228563518021
TUL,0.058590194190158075
TUS,0.05256500745021058
TVC,0.04483890738275033
TWF,0.054888404848732336
TXK,0.11008261068005476
TYR,0.06459238551650692
TYS,0.04077901839818692
VLD,0.12703727369542064
WYS,0.07688214285714284
XWA,0.1263179079054353
YKM,0.0331063122923588
