Origin,Dest,Delay_Probability
AUS,ELP,0.10913194444444445
AUS,FSD,0.015789473684210527
AUS,GRR,0.050314465408805034
AUS,MSN,0.0
AUS,OKC,0.043402777777777776
AUS,PNS,0.0
AUS,PSP,0.02450819672131148
AUS,SGF,0.0
AUS,TUL,0.044986689814814816
AUS,TYS,0.04234840698869476
AUS,HRL,0.030817708333333336
AUS,LBB,0.030975609756097564
AUS,LGB,0.017708333333333333
AUS,MAF,0.08782527881040891
AUS,EUG,0.08333333333333333
AVP,ATL,0.02282442748091603
AVP,ORD,0.12329073482428116
AVP,CLT,0.07517571884984024
AVP,DTW,0.10581012658227848
AVP,PHL,0.08609929078014185
AVP,IAD,0.03325301204819277
AZO,MSP,0.05324074074074074
AZO,ORD,0.11392394822006473
AZO,DTW,0.12102481121898598
BDL,DFW,0.04496192893401015
BDL,ATL,0.07742096505823627
BDL,BWI,0.04373967989858172
BDL,DEN,0.034688019966722126
BDL,IAH,0.0492627939142462
BDL,LAS,0.03164556962025317
BDL,LAX,0.030018987341772146
BDL,MCO,0.08387271214642263
BDL,MDW,0.027559966216216217
BDL,MSP,0.09213311148086523
BDL,ORD,0.09268370607028753
BDL,SFO,0.018691588785046728
BDL,CLT,0.10096624673163775
BDL,DTW,0.0755446081926947
BDL,PHL,0.051680532445923466
BDL,BNA,0.01827956989247312
BDL,CLE,0.033529411764705884
BDL,CVG,0.025526315789473685
BDL,DCA,0.09819803198031979
BDL,FLL,0.021772046589018303
BDL,IAD,0.04002555910543131
BDL,LGA,0.06991111111111112
BDL,MIA,0.034287564766839376
BDL,PBI,0.01028169014084507
BDL,RDU,0.0035740072202166064
BDL,RSW,0.017695876288659793
BDL,STL,0.0
BDL,TPA,0.030792988313856427
BDL,MYR,0.050761904761904765
BFF,DEN,0.0533482428115016
BFF,PIR,0.03666666666666667
BFL,DFW,0.05796610169491525
BFL,DEN,0.015846645367412142
BFL,PHX,0.024201277955271563
BFL,SFO,0.00759704415954416
BGM,DTW,0.0740947816826411
BGR,DFW,0.03333333333333333
BGR,ATL,0.0
BGR,JFK,0.021119477911646586
BGR,ORD,0.09180451127819549
BGR,CLT,0.047149643705463186
BGR,DTW,0.0
BGR,PHL,0.06949445368829728
BGR,BOS,0.017857142857142856
BGR,DCA,0.04475338087042046
BGR,EWR,0.08594252873563218
BGR,FLL,0.0
BGR,IAD,0.02241573033707865
BGR,LGA,0.051908893709327546
BGR,MIA,0.09090909090909091
BGR,ACK,0.07615384615384616
BGR,PIE,0.03127206736353078
BGR,SFB,0.03880869120814772
BIS,DFW,0.06823482428115017
BIS,DEN,0.08850068461889547
BIS,LAS,0.022312703583061887
BIS,MSP,0.13738551650692224
BIS,ORD,0.03213740458015267
BIS,PHX,0.03216666666666666
BJI,MSP,0.10406017039403621
BLI,LAS,0.02
BLI,LAX,0.0
BLI,OAK,0.007983870967741936
BLI,SAN,0.0
BLI,SEA,0.056573482428115024
BLV,LAS,0.02372781065088757
BLV,CHS,0.043478260869565216
BLV,FLL,0.0311875
BLV,JAX,0.03773584905660377
BMI,DFW,0.11214057507987218
BMI,ATL,0.048994370911303826
BMI,DEN,0.007903225806451612
BMI,LAS,0.0
BMI,MCO,0.01175438596491228
BMI,ORD,0.08541516245487364
BMI,DTW,0.009009009009009009
BMI,TPA,0.0
BNA,DFW,0.21261785912368275
BNA,ATL,0.11991957848031058
BNA,AUS,0.08149195784803105
BNA,BWI,0.050249584026622295
BNA,DAL,0.07523294509151414
BNA,DEN,0.14415973377703825
BNA,HOU,0.04214642262895175
BNA,IAH,0.15309206877426512
BNA,JFK,0.18956139424346446
BNA,LAS,0.0780865224625624
BNA,LAX,0.07284525790349418
BNA,MCI,0.04516084303937881
BNA,MCO,0.10358402662229617
BNA,MDW,0.05434830837493066
BNA,MSP,0.1130047143649473
BNA,OAK,0.021846153846153845
BNA,ORD,0.24023162939297124
BNA,PDX,0.05016949152542373
BNA,PHX,0.05751525235718247
BNA,SAN,0.017481417953116064
BNA,SEA,0.07988630061009429
BNA,SFO,0.05907031249999999
BNA,SJC,0.01104325699745547
BNA,SLC,0.03214532871972318
BNA,SNA,0.003367003367003367
BNA,CLT,0.15778702163061561
BNA,DTW,0.07113643926788686
BNA,PHL,0.1300682196339434
BNA,BDL,0.01031277926720286
BNA,BOS,0.11054908485856904
BNA,CHS,0.02129712460063898
BNA,CLE,0.031397670549084856
BNA,CMH,0.027073378839590444
BNA,CVG,0.0
BNA,DCA,0.11866056572379367
BNA,EWR,0.1454912725225225
BNA,FLL,0.08740432612312812
BNA,FNT,0.008928571428571428
BNA,GPT,0.045454545454545456
BNA,IAD,0.10554739084132055
BNA,JAX,0.05265945646145313
BNA,LGA,0.21421304103428893
BNA,MIA,0.11378507295173963
BNA,MKE,0.02622296173044925
BNA,MLB,0.0
BNA,MSY,0.037063758389261736
BNA,OMA,0.0055
BNA,ORF,0.02337259100642398
BNA,PBI,0.0
BNA,PIA,0.00980392156862745
BNA,PIT,0.03266891891891892
BNA,RDU,0.08734109816971715
BNA,ROA,0.0
BNA,RSW,0.022350382741823244
BNA,SAT,0.028629441624365485
BNA,SMF,0.011058823529411763
BNA,STL,0.030965058236272876
BNA,TPA,0.07750277315585136
BNA,TTN,0.02605263157894737
BNA,ONT,0.0
BNA,BUR,0.011386430678466078
BNA,BOI,0.0
BNA,GFK,0.0
BNA,PSM,0.0
BNA,PIE,0.06227106227106227
BNA,SFB,0.040204081632653065
BNA,MYR,0.040914351851851855
BNA,ABE,0.03571428571428571
BNA,ALB,0.03729323308270677
BNA,BUF,0.0
BNA,CID,0.0064516129032258064
BNA,FSD,0.019230769230769232
BNA,GRR,0.01851301115241636
BNA,GSP,0.08371428571428571
BNA,ISP,0.013469387755102041
BNA,MDT,0.016260162601626018
BNA,OKC,0.016911206077872745
BNA,PNS,0.03340277777777778
BNA,PSP,0.03225806451612903
BNA,PWM,0.0
BNA,RIC,0.026099518459069018
BNA,SAV,0.020624999999999998
BNA,SYR,0.03376860841423948
BNA,TYS,0.0
BNA,LGB,0.0017000000000000001
BOI,DFW,0.0524459234608985
BOI,ATL,0.018877805486284288
BOI,AUS,0.0
BOI,DAL,0.0
BOI,DEN,0.07501247920133113
BOI,IAH,0.03687780548628429
BOI,JFK,0.0
BOI,LAS,0.044026622296173046
BOI,LAX,0.06975374376039933
BOI,MDW,0.0
BOI,MSP,0.03262152777777778
BOI,OAK,0.0032945091514143096
BOI,ORD,0.0405111821086262
BOI,PDX,0.02502495840266223
BOI,PHX,0.019900166389351083
BOI,SAN,0.011389830508474575
BOI,SEA,0.21927343316694398
BOI,SFO,0.039334442595673876
BOI,SJC,0.01145
BOI,SLC,0.11679423183582917
BOI,SNA,0.018849840255591055
BOI,BNA,0.0
BOI,RNO,0.01850467289719626
BOI,SMF,0.019887674559805706
BOI,BUR,0.0
BOI,PUW,0.0
BOI,LWS,0.0
BOI,PAE,0.059000000000000004
BOI,GEG,0.06741319444444444
BOI,PSP,0.0
BOI,LGB,0.0
BOS,DFW,0.1478898132741727
BOS,ATL,0.166263172490294
BOS,AUS,0.06842207432057683
BOS,BWI,0.11891292290626733
BOS,DAL,0.015193798449612403
BOS,DEN,0.133477537437604
BOS,HOU,0.017855212355212355
BOS,IAH,0.10157154742096504
BOS,JFK,0.18331336661120357
BOS,LAS,0.1122920133111481
BOS,LAX,0.13678868552412646
BOS,MCI,0.07676230076230076
BOS,MCO,0.23484581253466447
BOS,MDW,0.03304492512479201
BOS,MSP,0.09412090959511923
BOS,OAK,0.039599999999999996
BOS,ORD,0.19399361022364217
BOS,PDX,0.055997245179063355
BOS,PHX,0.08089850249584027
BOS,SAN,0.07080907534246575
BOS,SEA,0.11621630615640599
BOS,SFO,0.1623502495840266
BOS,SJC,0.04119592875318066
BOS,SLC,0.09377326565143823
BOS,CLT,0.12875207986688852
BOS,DTW,0.11754714364947312
BOS,PHL,0.1202828618968386
BOS,BNA,0.10920049916805326
BOS,CHS,0.05148562300319488
BOS,CLE,0.0873724348308375
BOS,CMH,0.07486895161290322
BOS,CVG,0.08592321755027423
BOS,DCA,0.1963477537437604
BOS,EWR,0.18188063063063062
BOS,FLL,0.17797004991680535
BOS,GRB,0.0
BOS,HDN,0.011494252873563218
BOS,IAD,0.08917571884984025
BOS,IND,0.09871379276348219
