month,carrier_name,airport_name,predicted_arrival_delay
9,Delta Air Lines Network,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Delta Air Lines Network,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Delta Air Lines Network,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Delta Air Lines Network,"Denver, CO: Denver International",46.45570985573682
9,Delta Air Lines Network,"San Diego, CA: San Diego International",46.45570985573682
9,Delta Air Lines Network,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Delta Air Lines Network,"Boston, MA: Logan International",46.45570985573682
9,Delta Air Lines Network,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Delta Air Lines Network,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Delta Air Lines Network,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Delta Air Lines Network,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Delta Air Lines Network,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Frontier Airlines,Other,46.45570985573682
9,Frontier Airlines,"Nashville, TN: Nashville International",46.45570985573682
9,Frontier Airlines,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Frontier Airlines,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Frontier Airlines,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Frontier Airlines,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Frontier Airlines,"Kansas City, MO: Kansas City International",46.45570985573682
9,Frontier Airlines,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Frontier Airlines,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Frontier Airlines,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Frontier Airlines,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Frontier Airlines,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Frontier Airlines,"Denver, CO: Denver International",46.45570985573682
9,Frontier Airlines,"San Diego, CA: San Diego International",46.45570985573682
9,Frontier Airlines,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Frontier Airlines,"Boston, MA: Logan International",46.45570985573682
9,Frontier Airlines,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Frontier Airlines,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Frontier Airlines,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Frontier Airlines,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Frontier Airlines,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Allegiant Air,Other,46.45570985573682
9,Allegiant Air,"Nashville, TN: Nashville International",46.45570985573682
9,Allegiant Air,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Allegiant Air,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Allegiant Air,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Allegiant Air,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,Allegiant Air,"Kansas City, MO: Kansas City International",46.45570985573682
9,Allegiant Air,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,Allegiant Air,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,Allegiant Air,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,Allegiant Air,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,Allegiant Air,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,Allegiant Air,"Denver, CO: Denver International",46.45570985573682
9,Allegiant Air,"San Diego, CA: San Diego International",46.45570985573682
9,Allegiant Air,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,Allegiant Air,"Boston, MA: Logan International",46.45570985573682
9,Allegiant Air,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,Allegiant Air,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,Allegiant Air,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,Allegiant Air,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,Allegiant Air,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,Other,46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Nashville, TN: Nashville International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Indianapolis, IN: Indianapolis International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Kansas City, MO: Kansas City International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Minneapolis, MN: Minneapolis-St Paul International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Pittsburgh, PA: Pittsburgh International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Raleigh/Durham, NC: Raleigh-Durham International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"St. Louis, MO: St Louis Lambert International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Atlanta, GA: Hartsfield-Jackson Atlanta International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Denver, CO: Denver International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"San Diego, CA: San Diego International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Austin, TX: Austin - Bergstrom International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Boston, MA: Logan International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Los Angeles, CA: Los Angeles International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"New Orleans, LA: Louis Armstrong New Orleans International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Chicago, IL: Chicago O'Hare International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Philadelphia, PA: Philadelphia International",46.45570985573682
9,GoJet Airlines LLC d/b/a United Express,"Phoenix, AZ: Phoenix Sky Harbor International",46.45570985573682
9,Hawaiian Airlines Network,Other,46.45570985573682
9,Hawaiian Airlines Network,"Nashville, TN: Nashville International",46.45570985573682
9,Hawaiian Airlines Network,"Cleveland, OH: Cleveland-Hopkins International",46.45570985573682
9,Hawaiian Airlines Network,"Washington, DC: Ronald Reagan Washington National",46.45570985573682
9,Hawaiian Airlines Network,"Detroit, MI: Detroit Metro Wayne County",46.45570985573682
9,Hawaiian Airlines Network,"Indianapolis, IN: Indianapolis International",46.45570985573682
